date,equal_weight,mean_variance,risk_parity,hrp,black_litterman
2018-01-02,994834.6408416769,994834.6408416769,994834.6408416769,994834.6408416769,994834.6408416769
2018-01-03,1003181.5025837375,1003181.5025837375,1003181.5025837375,1003181.5025837375,1003181.5025837375
2018-01-04,996326.2177443893,996326.2177443893,996326.2177443893,996326.2177443893,996326.2177443893
2018-01-05,1001117.5624522462,1001117.5624522462,1001117.5624522462,1001117.5624522462,1001117.5624522462
2018-01-08,997975.331626773,997975.331626773,997975.331626773,997975.331626773,997975.331626773
2018-01-09,1013444.9041769163,1013444.9041769163,1013444.9041769163,1013444.9041769163,1013444.9041769163
2018-01-10,1029238.9716336508,1029238.9716336508,1029238.9716336508,1029238.9716336508,1029238.9716336508
2018-01-11,1041377.3201125913,1041377.3201125913,1041377.3201125913,1041377.3201125913,1041377.3201125913
2018-01-12,1034904.5834079189,1034904.5834079189,1034904.5834079189,1034904.5834079189,1034904.5834079189
2018-01-15,1052242.428487792,1052242.428487792,1052242.428487792,1052242.428487792,1052242.428487792
2018-01-16,1045134.0245141386,1045134.0245141386,1045134.0245141386,1045134.0245141386,1045134.0245141386
2018-01-17,1041697.4872036426,1041697.4872036426,1041697.4872036426,1041697.4872036426,1041697.4872036426
2018-01-18,1041756.9913671075,1041756.9913671075,1041756.9913671075,1041756.9913671075,1041756.9913671075
2018-01-19,1043742.1081716578,1043742.1081716578,1043742.1081716578,1043742.1081716578,1043742.1081716578
2018-01-22,1042499.0124799303,1042499.0124799303,1042499.0124799303,1042499.0124799303,1042499.0124799303
2018-01-23,1034302.2014170437,1034302.2014170437,1034302.2014170437,1034302.2014170437,1034302.2014170437
2018-01-24,1041423.386100984,1041423.386100984,1041423.386100984,1041423.386100984,1041423.386100984
2018-01-25,1052953.4743561354,1052953.4743561354,1052953.4743561354,1052953.4743561354,1052953.4743561354
2018-01-26,1056974.1278378868,1056974.1278378868,1056974.1278378868,1056974.1278378868,1056974.1278378868
2018-01-29,1061877.9645740322,1061877.9645740322,1061877.9645740322,1061877.9645740322,1061877.9645740322
2018-01-30,1061895.9277903163,1061895.9277903163,1061895.9277903163,1061895.9277903163,1061895.9277903163
2018-01-31,1050356.9421983268,1050356.9421983268,1050356.9421983268,1050356.9421983268,1050356.9421983268
2018-02-01,1050886.5335881913,1050886.5335881913,1050886.5335881913,1050886.5335881913,1050886.5335881913
2018-02-02,1057196.8030941342,1057196.8030941342,1057196.8030941342,1057196.8030941342,1057196.8030941342
2018-02-05,1046904.0779443515,1046904.0779443515,1046904.0779443515,1046904.0779443515,1046904.0779443515
2018-02-06,1038703.96446429,1038703.96446429,1038703.96446429,1038703.96446429,1038703.96446429
2018-02-07,1030716.8462665537,1030716.8462665537,1030716.8462665537,1030716.8462665537,1030716.8462665537
2018-02-08,1036826.7494193701,1036826.7494193701,1036826.7494193701,1036826.7494193701,1036826.7494193701
2018-02-09,1052785.8722631913,1052785.8722631913,1052785.8722631913,1052785.8722631913,1052785.8722631913
2018-02-12,1051402.461001915,1051402.461001915,1051402.461001915,1051402.461001915,1051402.461001915
2018-02-13,1052339.5597290783,1052339.5597290783,1052339.5597290783,1052339.5597290783,1052339.5597290783
2018-02-14,1055950.9851246502,1055950.9851246502,1055950.9851246502,1055950.9851246502,1055950.9851246502
2018-02-15,1058000.9200450967,1058000.9200450967,1058000.9200450967,1058000.9200450967,1058000.9200450967
2018-02-16,1033817.8894032263,1033817.8894032263,1033817.8894032263,1033817.8894032263,1033817.8894032263
2018-02-19,1045240.4180532435,1045240.4180532435,1045240.4180532435,1045240.4180532435,1045240.4180532435
2018-02-20,1049087.21153796,1049087.21153796,1049087.21153796,1049087.21153796,1049087.21153796
2018-02-21,1043515.2209508449,1043515.2209508449,1043515.2209508449,1043515.2209508449,1043515.2209508449
2018-02-22,1017713.9618713802,1017713.9618713802,1017713.9618713802,1017713.9618713802,1017713.9618713802
2018-02-23,1019583.3985524628,1019583.3985524628,1019583.3985524628,1019583.3985524628,1019583.3985524628
2018-02-26,1018524.3686252999,1018524.3686252999,1018524.3686252999,1018524.3686252999,1018524.3686252999
2018-02-27,1008406.7258058088,1008406.7258058088,1008406.7258058088,1008406.7258058088,1008406.7258058088
2018-02-28,1014150.6303467549,1014150.6303467549,1014150.6303467549,1014150.6303467549,1014150.6303467549
2018-03-01,1033040.8948209976,1033040.8948209976,1033040.8948209976,1033040.8948209976,1033040.8948209976
2018-03-02,1038904.4809602046,1038904.4809602046,1038904.4809602046,1038904.4809602046,1038904.4809602046
2018-03-05,1026189.8794387161,1026189.8794387161,1026189.8794387161,1026189.8794387161,1026189.8794387161
2018-03-06,1039800.8578375521,1039800.8578375521,1039800.8578375521,1039800.8578375521,1039800.8578375521
2018-03-07,1059466.218943389,1059466.218943389,1059466.218943389,1059466.218943389,1059466.218943389
