method,frequency,lookback_days,sharpe,ann_vol,max_dd
equal_weight,monthly,126,0.46738264355982867,0.08757075304622808,-0.1940064766600349
mean_variance,monthly,126,1.0380708576300763,0.07521666536194888,-0.17621261334656924
risk_parity,monthly,126,0.5798862248903991,0.08498188314740544,-0.18471518302858836
hrp,monthly,126,0.718347649222589,0.08041253664479231,-0.18713781745105573
black_litterman,monthly,126,1.1392255261568378,0.07668408997321764,-0.15227157638159172
equal_weight,monthly,252,0.4230029410806425,0.09432983539199913,-0.19402075972180444
mean_variance,monthly,252,0.7628583811241164,0.08766157100728826,-0.17330018889721677
risk_parity,monthly,252,0.5664319925483295,0.09141059602385809,-0.18554803154194965
hrp,monthly,252,0.4310747046304625,0.09072278032829129,-0.179057587004806
black_litterman,monthly,252,0.8372449263846643,0.0887118104946576,-0.15147680110435235
equal_weight,monthly,504,0.4909794175021671,0.10507119963566391,-0.19342430367419872
mean_variance,monthly,504,0.5376726151118755,0.10302777786196352,-0.18555268283025894
risk_parity,monthly,504,0.5464317849338178,0.10549157201487595,-0.18193852448354786
hrp,monthly,504,0.5629861843645613,0.10562640480862143,-0.17641953854521442
black_litterman,monthly,504,0.645995995959103,0.10463194222654033,-0.14837612246588916
equal_weight,quarterly,126,0.4246900619687504,0.09181385274281734,-0.19718472882707128
mean_variance,quarterly,126,1.0738917311858867,0.07609742349132291,-0.16931387077607973
risk_parity,quarterly,126,0.3885775833369275,0.08433242602940479,-0.20633947365206062
hrp,quarterly,126,0.5036315751115368,0.0830114467769617,-0.20808068786147393
black_litterman,quarterly,126,1.1503140512584034,0.07618898172267619,-0.15577952418500718
equal_weight,quarterly,252,0.4093818255671378,0.09834710781221437,-0.1971816286046595
mean_variance,quarterly,252,0.7761017316744601,0.09156805595477607,-0.16262178025016372
risk_parity,quarterly,252,0.5631190556215243,0.09248173382821769,-0.1891703514646439
hrp,quarterly,252,0.6670706162111334,0.09544142512488774,-0.17331664335272612
black_litterman,quarterly,252,0.8058002363885192,0.08826830786802276,-0.15630873217478536
equal_weight,quarterly,504,0.38619264716498175,0.10386892513515435,-0.20944983210256807
mean_variance,quarterly,504,0.47302095779403097,0.10088752137469548,-0.1959039179258979
risk_parity,quarterly,504,0.38921694529479056,0.10340400626319661,-0.2132253951265226
hrp,quarterly,504,0.42500572648721063,0.10268426133446795,-0.19441466255797646
black_litterman,quarterly,504,0.5467050812157064,0.1011181240509856,-0.1749358723186235
